alligator   鰐
bear        熊
camel       ラクダ
cat         猫
caterpilar  毛虫
catfish     なまず
cattle      牛
crow        烏
deer        鹿
dog         犬
dolphin     イルカ
duck        アヒル
eagle       鷲
elephant    象
fowl        鶏
frog        蛙
giraffe     麒麟
gorilla     ゴリラ
hawk        鷹
horse       馬
jaguar      豹
kangaroo    カンガルー
koala       コアラ
lion        ライオン
monkey      猿
ostrich     駝鳥
panda       パンダ
peacock     孔雀
penguin     ペンギン
pig         豚
rat         鼠
seal        アザラシ
sheep       羊
snake       蛇
sparrow     雀
tiger       虎
whale       鯨
wolf        狼
